budget,ci95_high,ci95_low,epistasis_bin,k,mean,method,metric,n,score,selection_policy,source
20,-0.05914198805823471,-0.12444070063811023,low_mid_epistasis,,-0.09117572758379786,,delta_top1pct_recall,275,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
20,-0.08186922061479841,-0.13367911186607545,low_mid_epistasis,,-0.10661889563617301,,delta_spearman,275,,oracle_high_residual,informative_double_selection_heldout_detail.csv
20,-0.07564832320408611,-0.13709692914816116,low_mid_epistasis,,-0.10599066194982971,,delta_top1pct_recall,275,,oracle_high_residual,informative_double_selection_heldout_detail.csv
50,0.027754451941421628,0.011334910752704484,low_mid_epistasis,,0.01954159668207942,,delta_spearman,275,,random_doubles,informative_double_selection_heldout_detail.csv
50,0.03986264265910973,0.009159363312298361,low_mid_epistasis,,0.024208039758974505,,delta_top1pct_recall,275,,random_doubles,informative_double_selection_heldout_detail.csv
50,0.026983937625787654,0.010462303558674082,low_mid_epistasis,,0.018760795323309477,,delta_spearman,275,,coverage_proxy,informative_double_selection_heldout_detail.csv
50,0.04753986565811009,0.01786143004174271,low_mid_epistasis,,0.032071504792593915,,delta_top1pct_recall,275,,coverage_proxy,informative_double_selection_heldout_detail.csv
50,-0.08214938581775152,-0.11970755101546891,low_mid_epistasis,,-0.10044953326987098,,delta_spearman,275,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
50,-0.024547481798850624,-0.08858231404886528,low_mid_epistasis,,-0.0565827183642749,,delta_top1pct_recall,275,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
50,-0.1097346633437506,-0.16259528079466531,low_mid_epistasis,,-0.13572406750579322,,delta_spearman,275,,oracle_high_residual,informative_double_selection_heldout_detail.csv
50,-0.11879586573374747,-0.1794112454906208,low_mid_epistasis,,-0.14843563453006206,,delta_top1pct_recall,275,,oracle_high_residual,informative_double_selection_heldout_detail.csv
100,0.030013828831837154,0.013063268066626478,low_mid_epistasis,,0.021389370409544094,,delta_spearman,270,,random_doubles,informative_double_selection_heldout_detail.csv
100,0.05265474657866499,0.020678927885015266,low_mid_epistasis,,0.03605553803095062,,delta_top1pct_recall,270,,random_doubles,informative_double_selection_heldout_detail.csv
100,0.030726415659219776,0.013213293008050346,low_mid_epistasis,,0.021820127983635997,,delta_spearman,270,,coverage_proxy,informative_double_selection_heldout_detail.csv
100,0.045116763575613186,0.013921067156725581,low_mid_epistasis,,0.029266785390392864,,delta_top1pct_recall,270,,coverage_proxy,informative_double_selection_heldout_detail.csv
100,-0.07602403834679909,-0.11515334396470904,low_mid_epistasis,,-0.09551116838257973,,delta_spearman,270,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
100,0.02477964671620178,-0.036759536826275176,low_mid_epistasis,,-0.0060502669922536095,,delta_top1pct_recall,270,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
100,-0.12504387438585715,-0.17637577601992613,low_mid_epistasis,,-0.15049025576828,,delta_spearman,270,,oracle_high_residual,informative_double_selection_heldout_detail.csv
100,-0.08032257575624135,-0.14773992982018058,low_mid_epistasis,,-0.11407653869244748,,delta_top1pct_recall,270,,oracle_high_residual,informative_double_selection_heldout_detail.csv
,0.36810281949069873,0.3242739852368787,,,0.3460800530759735,Site_Independent,pearson,217,,,zero_shot_extended_metrics.csv
,4.8754111184245845,3.3272979920737535,,,4.071318095048193,Site_Independent,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,5.751746284119336,3.6334803666849935,,,4.647302888976389,Site_Independent,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.42878778116289573,0.3857951399553892,,,0.4075458884538826,EVmutation,pearson,217,,,zero_shot_extended_metrics.csv
,5.441228392867283,3.3043823211366106,,,4.293095450242952,EVmutation,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
