assay,seed,budget,regime,model,features,n_features,ridge,n_train,n_test,spearman_all,top1pct_recall_at_100,best_true_in_pred_top_100,best_true_in_pred_top_100_percentile
A0A1I9GEU1_NEIME_Kennouche_2019.csv,3,20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,0.01078479025267055,0.3,6.211,1.0
A0A1I9GEU1_NEIME_Kennouche_2019.csv,3,20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,0.009761371256292665,0.3,6.211,1.0
A0A1I9GEU1_NEIME_Kennouche_2019.csv,3,50,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,0.08968534721915235,0.0,2.987,0.9815618221258134
A0A1I9GEU1_NEIME_Kennouche_2019.csv,3,50,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,0.04037657364169011,0.1111111111111111,5.07,0.9989154013015185
A0A1I9GEU1_NEIME_Kennouche_2019.csv,3,50,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,0.063264133237502,0.0,3.249,0.9880694143167028
A0A1I9GEU1_NEIME_Kennouche_2019.csv,3,100,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,0.016610158174213283,0.3333333333333333,5.07,0.9989154013015185
A0A1I9GEU1_NEIME_Kennouche_2019.csv,3,100,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,0.037197760003346285,0.0,3.239,0.9869848156182213
A0A1I9GEU1_NEIME_Kennouche_2019.csv,3,100,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,0.02455904645009301,0.1111111111111111,3.921,0.9934924078091106
A0A1I9GEU1_NEIME_Kennouche_2019.csv,4,20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,0.01469481184587802,0.1,3.794,0.9924078091106291
A0A1I9GEU1_NEIME_Kennouche_2019.csv,4,20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,-0.11774627551594846,0.1,3.554,0.9902386117136659
A0A1I9GEU1_NEIME_Kennouche_2019.csv,4,20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,-0.012940039235442966,0.1,4.203,0.9967462039045553
A0A1I9GEU1_NEIME_Kennouche_2019.csv,4,50,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,-0.022576966828513213,0.1111111111111111,6.211,1.0
A0A1I9GEU1_NEIME_Kennouche_2019.csv,4,50,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,-0.07862893280072193,0.2222222222222222,4.203,0.9967462039045553
A0A1I9GEU1_NEIME_Kennouche_2019.csv,4,50,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,0.08248407673139962,0.0,2.987,0.9815618221258134
A0A1I9GEU1_NEIME_Kennouche_2019.csv,4,100,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,-0.009584963339622018,0.0,2.987,0.9815618221258134
A0A1I9GEU1_NEIME_Kennouche_2019.csv,4,100,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,-0.03685209157715017,0.0,3.1060000000000003,0.9848156182212582
A0A1I9GEU1_NEIME_Kennouche_2019.csv,4,100,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,0.07930266323068294,0.1111111111111111,3.576,0.9913232104121475
A0A247D711_LISMN_Stadelmann_2021.csv,0,20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.49712954253791414,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,0,20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.4292685633684558,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,0,20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.49561929326116966,0.058823529411764705,0.8974029166628696,0.9933454325468845
A0A247D711_LISMN_Stadelmann_2021.csv,0,50,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.5841350111917455,0.11764705882352941,0.9052812992998712,0.9951603145795523
A0A247D711_LISMN_Stadelmann_2021.csv,0,50,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.44340549838061927,0.058823529411764705,0.9052812992998712,0.9951603145795523
