budget,regime,model,zero_shot_method,n_rows,mean_best_top100_percentile,mean_top1pct_recall_at_100,mean_abs_spearman_all
20,single_plus_double,zscore_linear,S2F_MSA,1065,0.9919362954175999,0.1678837119821757,0.5097585733056778
20,single_plus_double,random_forest,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9919164799979613,0.14873203781962696,0.49411500005026937
20,single_plus_double,additive_plus_zscore,PoET,1065,0.9918189305864423,0.16030014583143035,0.4899885721326559
20,single_plus_double,additive_plus_zscore,RSALOR,1065,0.9918170604959288,0.1520390185610498,0.484527337708568
20,single_plus_double,zscore_linear,S3F_MSA,1065,0.9916163252227123,0.1651684517508817,0.5169903743347607
20,single_plus_double,zscore_linear,TranceptEVE_M,1065,0.9913842099042057,0.1591924188311636,0.4759346678868157
20,single_plus_double,additive_plus_zscore,S2F_MSA,1065,0.9913565421240458,0.16438506123327673,0.5079812524087703
20,single_plus_double,additive_plus_zscore,ESM3,1065,0.991236977656561,0.1822628451840908,0.4834168252481126
20,single_plus_double,additive_plus_zscore,TranceptEVE_L,1065,0.9912191086460078,0.15344771289799758,0.47660818604330824
20,single_plus_double,zscore_linear,S3F,1065,0.991131474426483,0.1781837849701672,0.4899552292394997
20,single_plus_double,xgboost,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9910152016713056,0.14598530704409876,0.46126160640508174
20,single_plus_double,additive_plus_zscore,TranceptEVE_M,1065,0.99074951564907,0.1572870006103931,0.47465899477451484
20,single_plus_double,additive_plus_zscore,S3F_MSA,1065,0.9906787989941339,0.16105087058156692,0.5153769492324185
20,single_plus_double,zscore_linear,ProtSSN_ensemble,1065,0.9906574779483726,0.1718920728310467,0.4743758210379456
20,single_plus_double,zscore_linear,ESCOTT,1065,0.9903575283536141,0.12703645225762247,0.5004826719987412
20,single_plus_double,additive_plus_zscore,S3F,1065,0.9902396194364118,0.17550452589638893,0.489020423856782
20,single_plus_double,elastic_net,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9900805090566358,0.1616190320574581,0.5325484988691015
20,single_plus_double,additive_plus_zscore,S2F,1065,0.9900179840962284,0.1652000051652852,0.47499431773943146
20,single_plus_double,zscore_linear,S2F,1065,0.9898954284522381,0.16839507189727618,0.4760985334168168
20,single_plus_double,additive_plus_zscore,ESCOTT,1065,0.9895871125419383,0.12936945557896087,0.4997400243233147
20,single_plus_double,zscore_linear,SaProt_650M_AF2,1065,0.9895194491136844,0.1673266330200745,0.47325167940496377
20,single_plus_double,additive_plus_zscore,ProtSSN_ensemble,1065,0.9893037868533694,0.16925278080063239,0.47402044303051133
20,single_plus_double,zscore_linear,ProSST-1024,1065,0.9889385509100221,0.20230184694519818,0.5035917124579712
20,single_plus_double,zscore_linear,ProSST-4096,1065,0.9888921493507618,0.1776257590717959,0.5129469943405004
20,single_plus_double,zscore_linear,GEMME,1065,0.9885815556970554,0.13182808324657555,0.4762455651421497
20,single_plus_double,additive_plus_zscore,SaProt_650M_AF2,1065,0.9884240214774763,0.1655419629108089,0.4729260824678452
20,single_plus_double,zscore_linear,ProSST-512,1065,0.9881425851244144,0.18101419761923815,0.4890695861456974
20,single_plus_double,additive_plus_zscore,GEMME,1065,0.9876607535056725,0.13110286292121479,0.47437037065233306
20,single_plus_double,zscore_linear,VenusREM,1065,0.9875277159164026,0.19209377262846292,0.536531338670276
20,single_plus_double,additive_plus_zscore,ProSST-1024,1065,0.9871193777939117,0.20001626522956525,0.5037209423466391
20,single_plus_double,zscore_linear,ProSST-128,1065,0.9870231258462967,0.18433576155643636,0.48531036105226555
20,single_plus_double,additive_plus_zscore,VenusREM,1065,0.9869757968110683,0.18825658791588218,0.5368853901017134
20,single_plus_double,lasso,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9862329593152408,0.1355482816105532,0.4847222226447723
20,single_plus_double,additive_plus_zscore,ProSST-4096,1065,0.9862313428551933,0.17295582340763047,0.5115728186817905
20,single_plus_double,additive_plus_zscore,ProSST-2048,1065,0.985879320920086,0.19814021298645526,0.5236591837410515
20,single_plus_double,additive_plus_zscore,ProSST-512,1065,0.9855237804704189,0.1756728121825509,0.48892611166779587
20,single_plus_double,additive_plus_zscore,VespaG,1065,0.9853305028581899,0.10946768129092141,0.47958776365085687
20,single_plus_double,zscore_linear,VespaG,1065,0.9845972158783075,0.1093942194562344,0.48257475309050524
20,single_plus_double,additive_plus_zscore,ProSST-128,1065,0.9842976542719423,0.18077357606938727,0.48465863398745257
20,single_plus_double,onehot_site_ridge,mutation_identity,1065,0.9841453938986394,0.11182498221266793,0.40392543793347674
20,single_plus_double,zscore_linear,ProSST-2048,1065,0.9841168255257782,0.20137221309391873,0.5230574854341478
20,single_plus_double,additive_plus_site_ridge,mutation_identity,1065,0.984115803913146,0.11186699855840163,0.4030449704986251
20,single_plus_double,global_mean,mutation_identity,1065,0.9835186418439475,0.11005320756114137,nan
20,single_plus_double,hist_gradient_boosting,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9835186418439475,0.11005320756114137,nan
20,single_plus_double,additive_lookup,none,1065,0.9830454865268285,0.1090042002293158,0.06278612871206625
20,single_plus_double,mutation_order_mean,mutation_identity,1065,0.9829440186704045,0.11176378960108878,0.37390291214004706
