policy,round,n_runs,mean_n_observed,mean_best_observed_fitness,mean_best_observed_percentile,top1pct_found_rate
zscore_linear:ProSST-2048,2,140,40.0,2540.0485461555854,0.9814825628488086,0.4142857142857143
additive_lookup,3,140,50.0,2651.1183377703887,0.9808530384557008,0.4857142857142857
additive_plus_zscore:ProSST-2048,3,140,50.0,2538.069425037366,0.9827101567825149,0.4928571428571429
disagreement:additive_vs_ProSST-2048,3,140,50.0,2576.185201614249,0.970970011044459,0.2571428571428571
diverse_ensemble:top_methods,3,140,50.0,2684.5318605765533,0.9887532151718773,0.55
diverse_zscore:ESM3,3,140,50.0,2758.8877726812207,0.989347272238441,0.65
ensemble_mean:top_methods,3,140,50.0,2695.4427911287858,0.9878787142644421,0.5714285714285714
ensemble_ucb:top_methods,3,140,50.0,2726.6676884520543,0.9912976396724066,0.6642857142857143
random,3,140,50.0,2562.8438118339946,0.9809282785975266,0.38571428571428573
zscore_linear:ESM3,3,140,50.0,2683.140035288287,0.9884214759858793,0.5785714285714286
zscore_linear:ProSST-2048,3,140,50.0,2540.087435608762,0.9829531608698636,0.4857142857142857
additive_lookup,4,140,60.0,2683.2807740627127,0.9833906376470818,0.4928571428571429
additive_plus_zscore:ProSST-2048,4,140,60.0,2630.77807633959,0.9853379938184695,0.5857142857142857
disagreement:additive_vs_ProSST-2048,4,140,60.0,2599.0187526994264,0.9735397141009617,0.2785714285714286
diverse_ensemble:top_methods,4,140,60.0,2747.8845755636303,0.9910477809455529,0.6571428571428571
diverse_zscore:ESM3,4,140,60.0,2758.8981735078423,0.9904279830656169,0.65
ensemble_mean:top_methods,4,140,60.0,2699.77622491565,0.9904042966668438,0.6214285714285714
ensemble_ucb:top_methods,4,140,60.0,2780.5998181055406,0.9924424221091428,0.7071428571428572
random,4,140,60.0,2563.003894900934,0.9845328892785158,0.4714285714285714
zscore_linear:ESM3,4,140,60.0,2686.9703954038446,0.9901158549991241,0.6142857142857143
zscore_linear:ProSST-2048,4,140,60.0,2644.4767169799084,0.9844822333989707,0.55
additive_lookup,5,140,70.0,2683.2950173603517,0.9843191720932266,0.4928571428571429
additive_plus_zscore:ProSST-2048,5,140,70.0,2656.7092711274477,0.9878300458570712,0.6285714285714286
disagreement:additive_vs_ProSST-2048,5,140,70.0,2637.60834009822,0.9749489094791339,0.30714285714285716
diverse_ensemble:top_methods,5,140,70.0,2792.7099253382016,0.9936071974344459,0.7571428571428571
diverse_zscore:ESM3,5,140,70.0,2769.1547060872986,0.9909190901416187,0.65
ensemble_mean:top_methods,5,140,70.0,2726.721782322619,0.9923853741658826,0.6785714285714286
ensemble_ucb:top_methods,5,140,70.0,2780.638923305525,0.9938841337836026,0.7571428571428571
random,5,140,70.0,2574.0701824754537,0.9867389168452484,0.55
zscore_linear:ESM3,5,140,70.0,2706.658325324112,0.991087286901759,0.6142857142857143
zscore_linear:ProSST-2048,5,140,70.0,2644.5236895208595,0.9869038357740875,0.5785714285714286
