assay,seed,policy,round,n_observed,best_observed_fitness,best_observed_percentile,top1pct_found,pool_size
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,random,5,70,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_lookup,0,20,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_lookup,1,30,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_lookup,2,40,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_lookup,3,50,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_lookup,4,60,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_lookup,5,70,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ProSST-2048,0,20,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ProSST-2048,1,30,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ProSST-2048,2,40,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ProSST-2048,3,50,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ProSST-2048,4,60,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ProSST-2048,5,70,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ESM3,0,20,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ESM3,1,30,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ESM3,2,40,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ESM3,3,50,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ESM3,4,60,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,zscore_linear:ESM3,5,70,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_plus_zscore:ProSST-2048,0,20,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_plus_zscore:ProSST-2048,1,30,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_plus_zscore:ProSST-2048,2,40,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_plus_zscore:ProSST-2048,3,50,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_plus_zscore:ProSST-2048,4,60,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,additive_plus_zscore:ProSST-2048,5,70,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,disagreement:additive_vs_ProSST-2048,0,20,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,disagreement:additive_vs_ProSST-2048,1,30,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,disagreement:additive_vs_ProSST-2048,2,40,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,disagreement:additive_vs_ProSST-2048,3,50,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,disagreement:additive_vs_ProSST-2048,4,60,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,disagreement:additive_vs_ProSST-2048,5,70,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_mean:top_methods,0,20,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_mean:top_methods,1,30,6.211,1.0,1,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,1,ensemble_mean:top_methods,2,40,6.211,1.0,1,922
