budget,model,method,n_pairs,n_pairs_spearman_doubles,n_pairs_spearman_higher,n_pairs_spearman_all,n_pairs_top1pct_recall_at_100,mean_delta_spearman_doubles,mean_delta_spearman_higher,mean_delta_spearman_all,mean_delta_top1pct_recall_at_100
100,additive_plus_zscore,PoET,1060,320,40,1055,1060,0.02471871193859061,0.2624741884675827,0.011199660561633542,0.009029519430952988
100,additive_plus_zscore,S3F_MSA,1060,320,40,1055,1060,0.02428371823970525,0.21423718181369894,0.009981578838390475,0.010232174656123463
100,additive_plus_zscore,TranceptEVE_L,1060,320,40,1055,1060,0.01909672185595853,0.23837555067419994,0.005665310876862775,0.008836361642721245
100,additive_plus_zscore,TranceptEVE_M,1060,320,40,1055,1060,0.018095870266401446,0.233334505189129,0.00564579870996745,0.006457545318714636
100,additive_plus_zscore,S3F,1060,320,40,1055,1060,0.017419292129622503,0.09514039310392723,0.007542457971429246,0.008695343960331031
100,additive_plus_zscore,S2F_MSA,1060,320,40,1055,1060,0.017291791105769692,0.17619964141948632,0.008112419694426852,0.012313444208304733
100,additive_plus_zscore,GEMME,1060,320,40,1056,1060,0.016345596382499654,0.25891405122888705,0.00960357584197662,0.004436332197918261
100,additive_plus_zscore,SaProt_650M_AF2,1060,320,40,1055,1060,0.016031240237409868,0.09665882419583643,0.004903101957920691,0.008402885705920127
100,additive_plus_zscore,S2F,1060,320,40,1055,1060,0.006777689379701322,0.0540865668671253,0.004399301731504345,0.009132779951035846
100,zscore_linear,TranceptEVE_L,1060,320,40,1060,1060,0.003670543465746156,-0.012849290078269588,-0.0016172108664843947,-0.003875055658517934
100,zscore_linear,TranceptEVE_M,1060,320,40,1060,1060,0.0027150345497863166,-0.011936732897698813,-0.002003675848353492,-0.0063758392123552865
100,zscore_linear,PoET,1060,320,40,1060,1060,0.00250771438775991,-0.006647308412356062,-0.00026413528134305213,-0.003207983017620566
100,zscore_linear,SaProt_650M_AF2,1060,320,40,1060,1060,0.001824770260591617,0.01938733321758133,0.00028523917047385515,-0.003941819846032127
100,zscore_linear,VespaG,1060,320,40,1060,1060,0.0016735988120074878,-4.663511469021886e-07,-0.002917203046463828,-0.0017906678777664866
100,zscore_linear,GEMME,1060,320,40,1060,1060,0.0014294253707741026,-0.010211995629842903,-0.0013355284758627287,-0.0029061996848408016
100,zscore_linear,S3F_MSA,1060,320,40,1060,1060,0.0013797977081766032,0.002338421308238663,-0.0005500525659705788,-0.0045834727603974975
100,zscore_linear,ProtSSN_ensemble,1060,320,40,1060,1060,0.001274482081964113,0.009875466629781884,0.0008359765660581488,-0.004743963830160462
100,zscore_linear,ESM3,1060,320,40,1060,1060,0.0012490391469007934,-0.005263620162645905,0.00042014669046772497,-0.0032489547481233776
100,zscore_linear,ProSST-1024,1060,320,40,1060,1060,0.0008453447560672634,-0.01076001833883194,-0.0007471126660408085,0.0008637315059311807
100,zscore_linear,S2F_MSA,1060,320,40,1060,1060,0.0005692456949723646,0.002115466540985711,6.917651467009123e-05,-0.0005520757755138899
100,zscore_linear,S3F,1060,320,40,1060,1060,0.0004911375160465538,0.0021467016918715193,0.0008893205946203172,-0.005109090117997024
100,additive_plus_zscore,ProtSSN_ensemble,1060,320,40,1055,1060,0.00027533997662806443,0.18263866631183362,0.009122175290457205,0.011522066815376757
100,zscore_linear,RSALOR,1060,320,40,1060,1060,0.0002337417781130969,-0.009940256116730656,-0.0005935238926631396,-0.0011972931932033156
100,zscore_linear,ProSST-128,1060,320,40,1060,1060,0.0001193771085800645,-0.011335587260921246,-0.0011309526503511449,0.0017623172421534395
100,zscore_linear,ProSST-512,1060,320,40,1060,1060,1.6407500603308925e-05,-0.010967331076263496,-0.0008524342672989194,-0.0005978992094988818
100,global_mean,mutation_identity,1060,0,0,0,1060,nan,nan,nan,-0.0021345652863020027
100,mutation_order_mean,mutation_identity,1060,0,0,0,1060,nan,nan,nan,-0.0015259170551137824
100,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1060,0,0,1060,1060,nan,nan,0.0038301766528789395,-0.0038492641876390708
100,zscore_linear,ProSST-4096,1060,320,40,1060,1060,-0.00026546425199470953,-0.01005129778239319,-0.001065433920759853,0.0006541213986936804
100,zscore_linear,S2F,1060,320,40,1060,1060,-0.0011145906426972944,-0.0063357965875667594,-0.0005990688792204391,-0.0034766092932957448
100,zscore_linear,ESCOTT,1060,320,40,1060,1060,-0.001141631286557657,-0.010630145244222648,-0.0006806831340444094,-0.004695505401975075
100,zscore_linear,ProSST-2048,1060,320,40,1060,1060,-0.0014270774871189113,-0.022279535146123637,-0.0009560655188220416,-0.0031476263894810955
100,zscore_linear,VenusREM,1060,320,40,1060,1060,-0.0016213559522138862,-0.0244720112650262,-0.0007903885522134268,-0.002092426507169767
100,additive_plus_zscore,VespaG,1060,320,40,1055,1060,-0.009070762561536392,0.07875858250267304,-0.0022401370650648737,0.005893701487534937
100,additive_lookup,none,1060,300,40,305,1060,-0.05557019351971802,-0.03600326632249541,-0.054471550846538826,-0.002667847451106449
