assay,seed,double_budget,model,selection_policy,n_train_doubles,n_test_higher,spearman_higher,abs_spearman_higher,top1pct_recall_at_100,pair_coverage
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_plus_zscore:S2F_MSA,informative_pair_coverage,20,8656,0.27615632392347556,0.27615632392347556,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_plus_zscore:VenusREM,informative_pair_coverage,20,8656,0.2761561934626189,0.2761561934626189,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_plus_plm_ensemble,informative_pair_coverage,20,8656,0.27615671022711985,0.27615671022711985,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_residual_from_doubles,random_doubles,50,8656,0.2659153356694776,0.2659153356694776,0.22988505747126436,0.09928345046162326
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_plus_zscore:ProSST-2048,random_doubles,50,8656,0.2659153549478125,0.2659153549478125,0.22988505747126436,0.09928345046162326
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_plus_zscore:ESM3,random_doubles,50,8656,0.26591525326753485,0.26591525326753485,0.22988505747126436,0.09928345046162326
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_plus_zscore:S2F_MSA,random_doubles,50,8656,0.26591534748206924,0.26591534748206924,0.22988505747126436,0.09928345046162326
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_plus_zscore:VenusREM,random_doubles,50,8656,0.2659152673109032,0.2659152673109032,0.22988505747126436,0.09928345046162326
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_plus_plm_ensemble,random_doubles,50,8656,0.2659153956809817,0.2659153956809817,0.22988505747126436,0.09928345046162326
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_residual_from_doubles,informative_pair_coverage,50,8656,0.2894679776797402,0.2894679776797402,0.27586206896551724,0.17307427311561252
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_plus_zscore:ProSST-2048,informative_pair_coverage,50,8656,0.28946771596169074,0.28946771596169074,0.27586206896551724,0.17307427311561252
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_plus_zscore:ESM3,informative_pair_coverage,50,8656,0.289467997282368,0.289467997282368,0.27586206896551724,0.17307427311561252
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_plus_zscore:S2F_MSA,informative_pair_coverage,50,8656,0.28946800233354003,0.28946800233354003,0.27586206896551724,0.17307427311561252
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_plus_zscore:VenusREM,informative_pair_coverage,50,8656,0.28946769369397823,0.28946769369397823,0.27586206896551724,0.17307427311561252
F7YBW8_MESOW_Aakre_2015.csv,1,50,pairwise_plus_plm_ensemble,informative_pair_coverage,50,8656,0.2894680002242594,0.2894680002242594,0.27586206896551724,0.17307427311561252
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_residual_from_doubles,random_doubles,100,8656,0.25964342788054523,0.25964342788054523,0.16091954022988506,0.20040420743190482
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_plus_zscore:ProSST-2048,random_doubles,100,8656,0.2596433733292834,0.2596433733292834,0.16091954022988506,0.20040420743190482
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_plus_zscore:ESM3,random_doubles,100,8656,0.25964350516857343,0.25964350516857343,0.16091954022988506,0.20040420743190482
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_plus_zscore:S2F_MSA,random_doubles,100,8656,0.25964349056088004,0.25964349056088004,0.16091954022988506,0.20040420743190482
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_plus_zscore:VenusREM,random_doubles,100,8656,0.2596434261075551,0.2596434261075551,0.16091954022988506,0.20040420743190482
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_plus_plm_ensemble,random_doubles,100,8656,0.25964345160394714,0.25964345160394714,0.16091954022988506,0.20040420743190482
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_residual_from_doubles,informative_pair_coverage,100,8656,0.27259015649058865,0.27259015649058865,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_plus_zscore:ProSST-2048,informative_pair_coverage,100,8656,0.27259006980445927,0.27259006980445927,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_plus_zscore:ESM3,informative_pair_coverage,100,8656,0.27259022526214155,0.27259022526214155,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_plus_zscore:S2F_MSA,informative_pair_coverage,100,8656,0.27259031412021334,0.27259031412021334,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_plus_zscore:VenusREM,informative_pair_coverage,100,8656,0.272590085346527,0.272590085346527,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,1,100,pairwise_plus_plm_ensemble,informative_pair_coverage,100,8656,0.27259009965818104,0.27259009965818104,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_residual_from_doubles,random_doubles,20,8656,0.2719063277325065,0.2719063277325065,0.22988505747126436,0.04058150750999035
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_plus_zscore:ProSST-2048,random_doubles,20,8656,0.2719062675873343,0.2719062675873343,0.22988505747126436,0.04058150750999035
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_plus_zscore:ESM3,random_doubles,20,8656,0.27190628213026913,0.27190628213026913,0.22988505747126436,0.04058150750999035
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_plus_zscore:S2F_MSA,random_doubles,20,8656,0.2719062196659588,0.2719062196659588,0.22988505747126436,0.04058150750999035
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_plus_zscore:VenusREM,random_doubles,20,8656,0.2719062196659588,0.2719062196659588,0.22988505747126436,0.04058150750999035
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_plus_plm_ensemble,random_doubles,20,8656,0.27190652483630906,0.27190652483630906,0.22988505747126436,0.04058150750999035
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_residual_from_doubles,informative_pair_coverage,20,8656,0.27615617529289216,0.27615617529289216,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_plus_zscore:ProSST-2048,informative_pair_coverage,20,8656,0.27615627625188327,0.27615627625188327,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_plus_zscore:ESM3,informative_pair_coverage,20,8656,0.27615635167716795,0.27615635167716795,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_plus_zscore:S2F_MSA,informative_pair_coverage,20,8656,0.27615632392347556,0.27615632392347556,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_plus_zscore:VenusREM,informative_pair_coverage,20,8656,0.2761561934626189,0.2761561934626189,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,2,20,pairwise_plus_plm_ensemble,informative_pair_coverage,20,8656,0.27615671022711985,0.27615671022711985,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,2,50,pairwise_residual_from_doubles,random_doubles,50,8656,0.24706659934632916,0.24706659934632916,0.19540229885057472,0.0942997565568876
F7YBW8_MESOW_Aakre_2015.csv,2,50,pairwise_plus_zscore:ProSST-2048,random_doubles,50,8656,0.24706671697344307,0.24706671697344307,0.19540229885057472,0.0942997565568876
F7YBW8_MESOW_Aakre_2015.csv,2,50,pairwise_plus_zscore:ESM3,random_doubles,50,8656,0.24706678221312262,0.24706678221312262,0.19540229885057472,0.0942997565568876
F7YBW8_MESOW_Aakre_2015.csv,2,50,pairwise_plus_zscore:S2F_MSA,random_doubles,50,8656,0.24706671697344307,0.24706671697344307,0.19540229885057472,0.0942997565568876
